"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy"
277, 9.564436263862386e-01, 6.044175064970647e-03, 1.061206731473010e+00, 5.273149679834549e-01, -9.240991100647615e-02, 2.852232323992681e+00, 1.086878823087627e+00, 1.024191414220472e+00, 4.212927826253409e-01, 4.102896013583329e-01, -1.524206050262933e-08, 4.268211101221553e-07, -8.187092992439915e-08, 2.069658235903660e-07
278, 9.550966832083576e-01, 6.281529071599939e-03, 1.060858068890915e+00, 5.278713462056059e-01, -9.358364809128536e-02, 2.851429238072903e+00, 1.086387998886923e+00, 1.024065358736159e+00, 4.220489449934395e-01, 4.079716594423753e-01, -1.524206050262933e-08, 4.268211101221553e-07, -8.187092992439915e-08, 2.069658235903660e-07
279, 9.537354978983538e-01, 6.524174174693299e-03, 1.060537622825968e+00, 5.284513252544608e-01, -9.475065765951542e-02, 2.850703220409932e+00, 1.085924236780534e+00, 1.023937494915945e+00, 4.228138124031231e-01, 4.057815196247167e-01, -1.792112724885442e-08, 4.236899234788538e-07, -8.142037183356265e-08, 1.990036793131367e-07
280, 9.523601408852477e-01, 6.772157838692547e-03, 1.060205867214750e+00, 5.290423489838272e-01, -9.592101269034506e-02, 2.849950259345724e+00, 1.085446044527068e+00, 1.023806864395710e+00, 4.235949528385045e-01, 4.035232327134260e-01, -1.792112724885442e-08, 4.236899234788538e-07, -8.142037183356265e-08, 1.990036793131367e-07
281, 9.509706828355856e-01, 7.025529683594139e-03, 1.059850680708277e+00, 5.296573825301658e-01, -9.712432587662173e-02, 2.849140979498818e+00, 1.084937348292018e+00, 1.023670001860052e+00, 4.244122426101501e-01, 4.011208892185038e-01, -1.871935384478718e-08, 4.112148755952560e-07, -8.203692986041844e-08, 1.921093333301371e-07
282, 9.495671926682516e-01, 7.284340776313668e-03, 1.059474225966920e+00, 5.302566766737862e-01, -9.833151692119670e-02, 2.848274179084748e+00, 1.084406735205839e+00, 1.023532907764853e+00, 4.252287968316327e-01, 3.986150422943985e-01, -1.871935384478718e-08, 4.112148755952560e-07, -8.203692986041844e-08, 1.921093333301371e-07
283, 9.481497363230172e-01, 7.548637113088330e-03, 1.059114276931756e+00, 5.308977807574619e-01, -9.954466474629380e-02, 2.847457629150176e+00, 1.083887657282443e+00, 1.023390658487256e+00, 4.260754359114540e-01, 3.961636707553409e-01, -1.561041917952366e-08, 4.065040631884287e-07, -8.265272982699301e-08, 1.991934626133229e-07
284, 9.467183800514157e-01, 7.818460504610995e-03, 1.058746620532304e+00, 5.315175516971332e-01, -1.007481963487472e-01, 2.846618021763410e+00, 1.083362761765170e+00, 1.023250266641219e+00, 4.269092030825322e-01, 3.936848253372825e-01, -1.561041917952366e-08, 4.065040631884287e-07, -8.265272982699301e-08, 1.991934626133229e-07
285, 9.452731795472326e-01, 8.093855155099803e-03, 1.058387562773711e+00, 5.321841136777312e-01, -1.019559831123777e-01, 2.845808372622351e+00, 1.082839901648275e+00, 1.023103388337711e+00, 4.277801001100086e-01, 3.912155921996471e-01, -1.651518721779155e-08, 3.911342250084715e-07, -8.151455507809935e-08, 1.900780883801190e-07
286, 9.438141917845886e-01, 8.374865039735453e-03, 1.057980223312358e+00, 5.328462901483997e-01, -1.031942921674473e-01, 2.844873137388798e+00, 1.082263104237391e+00, 1.022952112326833e+00, 4.286750005315592e-01, 3.884916374847280e-01, -1.651518721779155e-08, 3.911342250084715e-07, -8.151455507809935e-08, 1.900780883801190e-07
287, 9.423414764579985e-01, 8.661537862335516e-03, 1.057625752848834e+00, 5.335214020499923e-01, -1.044082900488028e-01, 2.844078437794279e+00, 1.081742762972968e+00, 1.022802971712037e+00, 4.295568487361522e-01, 3.860342997542759e-01, -1.535935489904716e-08, 3.698524366768652e-07, -7.809139489223238e-08, 1.824892477131357e-07
288, 9.408550924776934e-01, 8.953913879253705e-03, 1.057228847220837e+00, 5.341462579837284e-01, -1.056082937794730e-01, 2.843165374348066e+00, 1.081182675018997e+00, 1.022657183315731e+00, 4.304164903432025e-01, 3.833892562880636e-01, -1.535935489904716e-08, 3.698524366768652e-07, -7.809139489223238e-08, 1.824892477131357e-07
289, 9.393550932361946e-01, 9.252033575177846e-03, 1.056849968061402e+00, 5.348453755388960e-01, -1.068277578973829e-01, 2.842311001140742e+00, 1.080630365430988e+00, 1.022501204606371e+00, 4.313338982000307e-01, 3.807809465453975e-01, -1.787277037479384e-08, 3.782159588849865e-07, -8.046424251895168e-08, 1.813097623148963e-07
290, 9.378415366422940e-01, 9.555931665677342e-03, 1.056439568755525e+00, 5.355720574984292e-01, -1.080693804865270e-01, 2.841379953615921e+00, 1.080038305018384e+00, 1.022337989754263e+00, 4.322929822854689e-01, 3.779849115390054e-01, -1.787277037479384e-08, 3.782159588849865e-07, -8.046424251895168e-08, 1.813097623148963e-07
291, 9.363144698964126e-01, 9.865648459061811e-03, 1.056018667767570e+00, 5.362654144592806e-01, -1.093081823933433e-01, 2.840417573407013e+00, 1.079439078877511e+00, 1.022178027552726e+00, 4.332319351414833e-01, 3.751550360213057e-01, -1.666155080570775e-08, 3.660080115652775e-07, -7.927532583162922e-08, 1.781803224965017e-07
292, 9.347739419909217e-01, 1.018122773161770e-02, 1.055591037402712e+00, 5.370179675940729e-01, -1.105708195913970e-01, 2.839447173912807e+00, 1.078822303430638e+00, 1.022007828036402e+00, 4.342281008715448e-01, 3.722422830254458e-01, -1.666155080570775e-08, 3.660080115652775e-07, -7.927532583162922e-08, 1.781803224965017e-07
