"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy"
267, 9.726268949464483e-01, 1.259808849456549e-02, 1.022694355927181e+00, 1.983243338753108e-01, -8.465002357200632e-02, 2.735476054235339e+00, 1.085097153968868e+00, 1.061018033080972e+00, 1.730002222450369e-01, 3.613774162088856e-01, 3.944394144639318e-09, 2.140270329298311e-07, -9.278123323797072e-08, 3.499721135113987e-08
268, 9.715530779813336e-01, 1.305500647972135e-02, 1.022163486709384e+00, 2.019706241112743e-01, -8.569230023513039e-02, 2.734291636210431e+00, 1.084298336583100e+00, 1.060787585040575e+00, 1.761299700387751e-01, 3.579851222316136e-01, 3.944394144639318e-09, 2.140270329298311e-07, -9.278123323797072e-08, 3.499721135113987e-08
269, 9.704645983956105e-01, 1.351543751289067e-02, 1.021635974385905e+00, 2.057234528541272e-01, -8.675928075356586e-02, 2.733127150917659e+00, 1.083492137475367e+00, 1.060546187331201e+00, 1.793513273806945e-01, 3.545614807005576e-01, 2.137578114513872e-09, 2.121870771865098e-07, -9.049650921688634e-08, 3.113352420314186e-08
270, 9.693614735495023e-01, 1.397924672708441e-02, 1.021086518327290e+00, 2.091960709279113e-01, -8.767103397822495e-02, 2.731888533725439e+00, 1.082678068354962e+00, 1.060319619270431e+00, 1.823242270231469e-01, 3.511044180183541e-01, 2.137578114513872e-09, 2.121870771865098e-07, -9.049650921688634e-08, 3.113352420314186e-08
271, 9.682437352233944e-01, 1.444632950926394e-02, 1.020526636501043e+00, 2.128008120153731e-01, -8.863057935565426e-02, 2.730635092757387e+00, 1.081839891447038e+00, 1.060080014330849e+00, 1.854177524253317e-01, 3.475449781172010e-01, 1.073006350438277e-09, 2.117079671848376e-07, -8.946144000598899e-08, 2.858817005346737e-08
272, 9.671114219776170e-01, 1.491657900471710e-02, 1.019915516841464e+00, 2.162358728344036e-01, -8.952302402251258e-02, 2.729237512779575e+00, 1.080954444030807e+00, 1.059847042408348e+00, 1.883782566044620e-01, 3.437847971411904e-01, 1.073006350438277e-09, 2.117079671848376e-07, -8.946144000598899e-08, 2.858817005346737e-08
273, 9.659645527523331e-01, 1.538988913839783e-02, 1.019369708882190e+00, 2.198214132651722e-01, -9.041141508670186e-02, 2.728026686497753e+00, 1.080126241303584e+00, 1.059602057910881e+00, 1.914434326850852e-01, 3.402677140461356e-01, -6.506002403483535e-10, 2.079229347584644e-07, -8.662836512018934e-08, 2.471698667960709e-08
274, 9.648031620360517e-01, 1.586615488221187e-02, 1.018770064780403e+00, 2.233717303362954e-01, -9.128866956820422e-02, 2.726674231703312e+00, 1.079238545827296e+00, 1.059354395203914e+00, 1.944944272974566e-01, 3.364979863567872e-01, -6.506002403483535e-10, 2.079229347584644e-07, -8.662836512018934e-08, 2.471698667960709e-08
275, 9.636272675722694e-01, 1.634526296669904e-02, 1.018138951163997e+00, 2.269374894536713e-01, -9.217633444072668e-02, 2.725243358890045e+00, 1.078311702572168e+00, 1.059100726221482e+00, 1.975720148304382e-01, 3.325620119422781e-01, -1.487268974642575e-09, 2.064891539421687e-07, -8.561707019738574e-08, 2.301985180253041e-08
276, 9.624368796818222e-01, 1.682710424443889e-02, 1.017610370296326e+00, 2.302224548890965e-01, -9.281661809693392e-02, 2.724064702239495e+00, 1.077515685259295e+00, 1.058868616821903e+00, 2.003478856219458e-01, 3.291816088809876e-01, -1.487268974642575e-09, 2.064891539421687e-07, -8.561707019738574e-08, 2.301985180253041e-08
277, 9.612320165563091e-01, 1.731158519645065e-02, 1.016969839867530e+00, 2.337458775047341e-01, -9.361902062688186e-02, 2.722611602096794e+00, 1.076575902084016e+00, 1.058611435540950e+00, 2.033807853266692e-01, 3.251906832173257e-01, -3.434748707675794e-09, 2.021198550750114e-07, -8.352630219421453e-08, 1.898414003775883e-08
278, 9.600126962313122e-01, 1.779859929716376e-02, 1.016360672215503e+00, 2.373358769077945e-01, -9.442633624190976e-02, 2.721250464636998e+00, 1.075661308234428e+00, 1.058346055332561e+00, 2.064651425208992e-01, 3.213067276814518e-01, -3.434748707675794e-09, 2.021198550750114e-07, -8.352630219421453e-08, 1.898414003775883e-08
279, 9.587789353817127e-01, 1.828803810676811e-02, 1.015687098227679e+00, 2.408502284706171e-01, -9.520227857294869e-02, 2.719716218895363e+00, 1.074679210136414e+00, 1.058080989717870e+00, 2.095020180916708e-01, 3.171361055563693e-01, -4.156397226395825e-09, 2.015233616647905e-07, -8.248214397599263e-08, 1.736557520004567e-08
280, 9.575307411315485e-01, 1.877980775041827e-02, 1.015091422281541e+00, 2.440589436304419e-01, -9.578669557344549e-02, 2.718366916689663e+00, 1.073803186756652e+00, 1.057838893311845e+00, 2.122390912688149e-01, 3.134159451191291e-01, -4.156397226395825e-09, 2.015233616647905e-07, -8.248214397599263e-08, 1.736557520004567e-08
281, 9.562681159452971e-01, 1.927379769634312e-02, 1.014415816456815e+00, 2.474704983453156e-01, -9.643704180560926e-02, 2.716824315012966e+00, 1.072821869002348e+00, 1.057576046822234e+00, 2.151727566417914e-01, 3.092486368368768e-01, -5.350918597102350e-09, 1.974679687544167e-07, -7.945459386260456e-08, 1.415495143319845e-08
282, 9.549910756561535e-01, 1.976991115647360e-02, 1.013848366716394e+00, 2.510786442983851e-01, -9.711571429897302e-02, 2.715587651931086e+00, 1.071938653150605e+00, 1.057296819072019e+00, 2.182476015910770e-01, 3.054979325233790e-01, -5.350918597102350e-09, 1.974679687544167e-07, -7.945459386260456e-08, 1.415495143319845e-08
283, 9.536996273822960e-01, 2.026805246741506e-02, 1.013134920272348e+00, 2.544779027747486e-01, -9.776203734999227e-02, 2.713951149378448e+00, 1.070909872949874e+00, 1.057025921741988e+00, 2.211914144293670e-01, 3.011290680731872e-01, -6.026645849033230e-09, 1.942527183551590e-07, -7.779458725820643e-08, 1.267792804071632e-08
284, 9.523937778193999e-01, 2.076812575892263e-02, 1.012451155610329e+00, 2.579522003627165e-01, -9.840274121789455e-02, 2.712402595116014e+00, 1.069904027793854e+00, 1.056746314985330e+00, 2.241908823049064e-01, 2.968576006193899e-01, -6.026645849033230e-09, 1.942527183551590e-07, -7.779458725820643e-08, 1.267792804071632e-08
285, 9.510735271955146e-01, 2.127002147868924e-02, 1.011772828010364e+00, 2.613202686330512e-01, -9.898401464290563e-02, 2.710862886396336e+00, 1.068909650502385e+00, 1.056471987495830e+00, 2.270967365955635e-01, 2.926348331169749e-01, -7.465838169906647e-09, 1.893981861345040e-07, -7.509147964546159e-08, 9.166406300664676e-09
286, 9.497388795489284e-01, 2.177364124373393e-02, 1.011007914780896e+00, 2.643925394092748e-01, -9.943885157534527e-02, 2.709071086453605e+00, 1.067843889489092e+00, 1.056217141208546e+00, 2.297646098041974e-01, 2.881089242784605e-01, -7.465838169906647e-09, 1.893981861345040e-07, -7.509147964546159e-08, 9.166406300664676e-09
287, 9.483898383122142e-01, 2.227888704391814e-02, 1.010402811097104e+00, 2.680142804627597e-01, -1.000097277647487e-01, 2.707751891960718e+00, 1.066902543699212e+00, 1.055918027920726e+00, 2.328585361223454e-01, 2.841113627450813e-01, -7.968933957158697e-09, 1.875069994827783e-07, -7.384260755638472e-08, 8.013036900678117e-09
288, 9.470264088962539e-01, 2.278566744835902e-02, 1.009689043128990e+00, 2.714632570158508e-01, -1.005376961434650e-01, 2.706133671586302e+00, 1.065854273302898e+00, 1.055626264894243e+00, 2.358389793812567e-01, 2.796597303503379e-01, -7.968933957158697e-09, 1.875069994827783e-07, -7.384260755638472e-08, 8.013036900678117e-09
289, 9.456485927103301e-01, 2.329389787970779e-02, 1.009068967224236e+00, 2.749450814305721e-01, -1.010201742313770e-01, 2.704769449735252e+00, 1.064902029803377e+00, 1.055331265149029e+00, 2.388163482248631e-01, 2.756158901111643e-01, -9.200879391713102e-09, 1.824386100524045e-07, -7.058677993498907e-08, 4.745170034681223e-09
